Match-Up,Minute,Player,Squad,xG,Distance,Body Part,Player.1,Event,input_dir,crop_dir,output_dir,dist,angle,player_dist,ball
"Liverpool vs. Norwich City Match Report – Friday August 9, 2019",19,Mohamed Salah,Liverpool,0.29,9.0,Left Foot,Roberto Firmino,Pass (Live),./image/train/2.png,./inference/cropped/train/2_match_cropped.png,./inference/output/train/2_match_mapped.png,205.9927183179056,20.458382053635695,[     189.17      440.45      328.25      313.04      121.84      27.203      143.25      127.81      122.92      165.34      176.73      204.46      100.85      36.674],"[72, -193]"
"Liverpool vs. Norwich City Match Report – Friday August 9, 2019",42,Divock Origi,Liverpool,0.23,13.0,Head,Trent Alexander-Arnold,Pass (Live),./image/train/3.png,./inference/cropped/train/3_match_cropped.png,./inference/output/train/3_match_mapped.png,113.87712676389407,30.618605408909403,[     354.92       296.5      164.94      226.37       270.3      118.34      316.26      168.59      299.02         167      347.07      380.78      250.86],"[58, -98]"
"Liverpool vs. Norwich City Match Report – Friday August 9, 2019",64,Teemu Pukki,Norwich City,0.35,11.0,Right Foot,Emi Buendía,Pass (Live),./image/train/4.png,./inference/cropped/train/4_match_cropped.png,./inference/output/train/4_match_mapped.png,211.42611002428248,44.808376033825716,[     86.649      451.85      41.869      127.58      139.18      223.33      195.36      139.94      136.95],"[149, -150]"
"West Ham United vs. Manchester City Match Report – Saturday August 10, 2019",51,Raheem Sterling,Manchester City,0.43,13.0,Left Foot,Kevin De Bruyne,Pass (Live),./image/train/5.png,,Failed,,,,
"West Ham United vs. Manchester City Match Report – Saturday August 10, 2019",75,Raheem Sterling,Manchester City,0.56,9.0,Right Foot,Riyad Mahrez,Pass (Live),./image/train/6.png,,Failed,,,,
"West Ham United vs. Manchester City Match Report – Saturday August 10, 2019",90+1,Raheem Sterling,Manchester City,0.48,10.0,Right Foot,Riyad Mahrez,Pass (Live),./image/train/7.png,,Failed,,,,
"Burnley vs. Southampton Match Report – Saturday August 10, 2019",63,Ashley Barnes,Burnley,0.06,16.0,Right Foot,Erik Pieters,Pass (Live),./image/train/8.png,./inference/cropped/train/8_match_cropped.png,./inference/output/train/8_match_mapped.png,251.79356624028344,83.15722658736902,[     46.174      197.31       235.7      624.09      538.73      21.932      196.09       430.5      213.69      221.72       543.9      504.74],"[250, -30]"
"Burnley vs. Southampton Match Report – Saturday August 10, 2019",70,Ashley Barnes,Burnley,0.42,6.0,Right Foot,Erik Pieters,Pass (Live),./image/train/9.png,./inference/cropped/train/9_match_cropped.png,./inference/output/train/9_match_mapped.png,102.00490184299969,0.561705332566547,[     366.82       405.5      602.99      646.97      673.62      139.18      209.61       138.6          61      92.418      134.74      454.64      243.28      160.43      351.88      405.84      568.92],"[1, -102]"
"Watford vs. Brighton & Hove Albion Match Report – Saturday August 10, 2019",65.0,Florin Andone,Brighton,0.36,8.0,Right Foot,Davy Pröpper,Pass (Live),./image/train/10.png,./inference/cropped/train/10_match_cropped.png,./inference/output/train/10_match_mapped.png,1464.3619771081192,64.34488469520937,[     103.59      88.566         318      385.52      409.18      252.79      576.69       511.1      575.73      691.12],"[1320, 634]"
"Tottenham Hotspur vs. Aston Villa Match Report – Saturday August 10, 2019",9,John McGinn,Aston Villa,0.33,11.0,Left Foot,Tyrone Mings,Pass (Live),./image/train/11.png,./inference/cropped/train/11_match_cropped.png,./inference/output/train/11_match_mapped.png,1696.7006217951357,86.21512676014166,[     92.022      366.36          20      163.62      23.707      130.25      157.44],"[1693, -112]"
